dataset,n_tiles,lat_min,lat_max,lon_min,lon_max
OHRC,900,7.337989838199999,8.1522256499,-63.90434991000001,-63.80253314999999
IIRS,47,-6.1714605892000005,26.021798552,-5.099389999999971,-3.813104679999924
