filename,product_code,camera,observation_time_utc,archive_start_time_utc,product_size_bytes,altitude_km,product_type,end_time
ch2_tmc_nca_20191129T0800374115_d_img_d18.zip,NCA,AFT,2019-11-29 08:00:37.411500+00:00,2019-11-29 08:00:37.411000+00:00,1340248000,88.61,IMG,2019-11-29 08:09:39.539000+00:00
ch2_tmc_ncf_20191129T0800374115_d_img_d18.zip,NCF,FORE,2019-11-29 08:00:37.411500+00:00,2019-11-29 08:00:37.411000+00:00,1340240000,88.61,IMG,2019-11-29 08:09:39.542000+00:00
ch2_tmc_ncf_20191129T0957596494_d_img_d18.zip,NCF,FORE,2019-11-29 09:57:59.649400+00:00,2019-11-29 09:57:59.649000+00:00,1399912000,88.66,IMG,2019-11-29 10:07:25.914000+00:00
ch2_tmc_ncn_20191129T0957596494_d_img_d18.zip,NCN,NADIR,2019-11-29 09:57:59.649400+00:00,2019-11-29 09:57:59.649000+00:00,1399920000,88.66,IMG,2019-11-29 10:07:25.917000+00:00
ch2_tmc_nca_20191129T0957596527_d_img_d18.zip,NCA,AFT,2019-11-29 09:57:59.652700+00:00,2019-11-29 09:57:59.652000+00:00,1399912000,88.66,IMG,2019-11-29 10:07:25.917000+00:00
ch2_tmc_nca_20191129T1155451269_d_img_d18.zip,NCA,AFT,2019-11-29 11:55:45.126900+00:00,2019-11-29 11:55:45.126000+00:00,1405304000,88.72,IMG,2019-11-29 12:05:13.573000+00:00
ch2_tmc_ncn_20191129T1155451269_d_img_d18.zip,NCN,NADIR,2019-11-29 11:55:45.126900+00:00,2019-11-29 11:55:45.126000+00:00,1405296000,88.72,IMG,2019-11-29 12:05:13.569000+00:00
ch2_tmc_ncf_20191129T1155451301_d_img_d18.zip,NCF,FORE,2019-11-29 11:55:45.130100+00:00,2019-11-29 11:55:45.130000+00:00,1405288000,88.72,IMG,2019-11-29 12:05:13.569000+00:00
ch2_tmc_nca_20191130T0140047387_d_img_d18.zip,NCA,AFT,2019-11-30 01:40:04.738700+00:00,2019-11-30 01:40:04.738000+00:00,1425544000,89.18,IMG,2019-11-30 01:49:41.372000+00:00
ch2_tmc_ncn_20191130T0140047387_d_img_d18.zip,NCN,NADIR,2019-11-30 01:40:04.738700+00:00,2019-11-30 01:40:04.738000+00:00,1425552000,89.18,IMG,2019-11-30 01:49:41.375000+00:00
ch2_tmc_ncf_20191130T0140047420_d_img_d18.zip,NCF,FORE,2019-11-30 01:40:04.742000+00:00,2019-11-30 01:40:04.742000+00:00,1425544000,89.18,IMG,2019-11-30 01:49:41.375000+00:00
ch2_tmc_ncn_20191130T0733339261_d_img_d18.zip,NCN,NADIR,2019-11-30 07:33:33.926100+00:00,2019-11-30 07:33:33.926000+00:00,1405296000,89.83,IMG,2019-11-30 07:43:02.372000+00:00
ch2_tmc_ncf_20191130T0733339261_d_img_d18.zip,NCF,FORE,2019-11-30 07:33:33.926100+00:00,2019-11-30 07:33:33.926000+00:00,1405304000,89.83,IMG,2019-11-30 07:43:02.369000+00:00
ch2_tmc_nca_20191130T0733339294_d_img_d18.zip,NCA,AFT,2019-11-30 07:33:33.929400+00:00,2019-11-30 07:33:33.929000+00:00,1405296000,89.83,IMG,2019-11-30 07:43:02.372000+00:00
ch2_tmc_nca_20191130T1326533236_d_img_d18.zip,NCA,AFT,2019-11-30 13:26:53.323600+00:00,2019-11-30 13:26:53.323000+00:00,1407824000,90.88,IMG,2019-11-30 13:36:22.497000+00:00
ch2_tmc_ncn_20191130T1326533236_d_img_d18.zip,NCN,NADIR,2019-11-30 13:26:53.323600+00:00,2019-11-30 13:26:53.323000+00:00,1407832000,90.88,IMG,2019-11-30 13:36:22.501000+00:00
ch2_tmc_ncf_20191130T1326533561_d_img_d18.zip,NCF,FORE,2019-11-30 13:26:53.356100+00:00,2019-11-30 13:26:53.356000+00:00,1407824000,90.88,IMG,2019-11-30 13:36:22.501000+00:00
ch2_tmc_nca_20191201T0311138950_d_img_d18.zip,NCA,AFT,2019-12-01 03:11:13.895000+00:00,2019-12-01 03:11:13.895000+00:00,1412896000,94.11,IMG,2019-12-01 03:20:45.412000+00:00
ch2_tmc_ncf_20191201T0311138950_d_img_d18.zip,NCF,FORE,2019-12-01 03:11:13.895000+00:00,2019-12-01 03:11:13.895000+00:00,1412888000,94.11,IMG,2019-12-01 03:20:45.409000+00:00
ch2_tmc_ncn_20191201T0311138983_d_img_d18.zip,NCN,NADIR,2019-12-01 03:11:13.898300+00:00,2019-12-01 03:11:13.898000+00:00,1412888000,94.11,IMG,2019-12-01 03:20:45.412000+00:00
ch2_tmc_nca_20191201T0706462450_d_img_d18.zip,NCA,AFT,2019-12-01 07:06:46.245000+00:00,2019-12-01 07:06:46.245000+00:00,1412896000,94.68,IMG,2019-12-01 07:16:17.762000+00:00
ch2_tmc_ncn_20191201T0706462450_d_img_d18.zip,NCN,NADIR,2019-12-01 07:06:46.245000+00:00,2019-12-01 07:06:46.245000+00:00,1412896000,94.68,IMG,2019-12-01 07:16:17.762000+00:00
