observation_time_utc,archive_start_time_utc,archive_end_time_utc,camera_count,cameras,product_codes,has_nadir,has_aft,has_fore,complete_three_camera,product_count,filenames,target_sensor,target_time_utc,time_difference_hours
2026-02-27 16:35:36+00:00,2026-02-27 16:35:36.352000+00:00,2026-02-27 16:47:25.724000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260227T1635363529_d_img_d18.zip | ch2_tmc_ncf_20260227T1635363529_d_img_d18.zip | ch2_tmc_ncn_20260227T1635363529_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,762.4965357777778
2026-02-27 12:39:55+00:00,2026-02-27 12:39:55.292000+00:00,2026-02-27 12:50:41.689000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260227T1239553248_d_img_d18.zip | ch2_tmc_ncf_20260227T1239552923_d_img_d18.zip | ch2_tmc_ncn_20260227T1239552923_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,766.4245913333333
2026-02-26 13:12:44+00:00,2026-02-26 13:12:43.733000+00:00,2026-02-26 13:14:48.274000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260226T1312437332_d_img_d18.zip | ch2_tmc_ncf_20260226T1312437332_d_img_d18.zip | ch2_tmc_ncn_20260226T1312437365_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,789.8776468888889
2026-02-26 13:07:54+00:00,2026-02-26 13:07:53.706000+00:00,2026-02-26 13:12:47.406000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260226T1307537066_d_img_d18.zip | ch2_tmc_ncf_20260226T1307537066_d_img_d18.zip | ch2_tmc_ncn_20260226T1307537066_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,789.9582024444444
2026-02-26 13:05:47+00:00,2026-02-26 13:05:46.568000+00:00,2026-02-26 13:07:58.445000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260226T1305465680_d_img_d18.zip | ch2_tmc_ncf_20260226T1305465680_d_img_d18.zip | ch2_tmc_ncn_20260226T1305465680_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,789.9934802222222
2026-02-26 01:25:46+00:00,2026-02-26 01:25:46.414000+00:00,2026-02-26 01:27:50.454000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260226T0125464180_d_img_d18.zip | ch2_tmc_ncf_20260226T0125464148_d_img_d18.zip | ch2_tmc_ncn_20260226T0125464180_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,801.6604246666667
2026-02-26 01:21:30+00:00,2026-02-26 01:21:29.963000+00:00,2026-02-26 01:25:51.573000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260226T0121299636_d_img_d18.zip | ch2_tmc_ncf_20260226T0121299636_d_img_d18.zip | ch2_tmc_ncn_20260226T0121299668_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,801.7315357777778
2026-02-26 01:18:48+00:00,2026-02-26 01:18:48.482000+00:00,2026-02-26 01:21:34.118000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260226T0118484828_d_img_d18.zip | ch2_tmc_ncf_20260226T0118484828_d_img_d18.zip | ch2_tmc_ncn_20260226T0118484860_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,801.7765357777778
2026-02-25 11:36:22+00:00,2026-02-25 11:36:22.285000+00:00,2026-02-25 11:41:22.545000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260225T1136222850_d_img_d18.zip | ch2_tmc_ncf_20260225T1136222850_d_img_d18.zip | ch2_tmc_ncn_20260225T1136222850_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,815.483758
2026-02-25 11:34:00+00:00,2026-02-25 11:33:59.576000+00:00,2026-02-25 11:36:27.604000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260225T1133595794_d_img_d18.zip | ch2_tmc_ncf_20260225T1133595763_d_img_d18.zip | ch2_tmc_ncn_20260225T1133595794_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,815.5232024444445
2026-02-24 21:54:41+00:00,2026-02-24 21:54:41.492000+00:00,2026-02-24 21:58:09.617000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260224T2154414927_d_img_d18.zip | ch2_tmc_ncf_20260224T2154414927_d_img_d18.zip | ch2_tmc_ncn_20260224T2154414927_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,829.1784802222222
2026-02-24 21:46:35+00:00,2026-02-24 21:46:34.766000+00:00,2026-02-24 21:54:47.990000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260224T2146347662_d_img_d18.zip | ch2_tmc_ncf_20260224T2146347662_d_img_d18.zip | ch2_tmc_ncn_20260224T2146347662_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,829.3134802222222
2026-02-24 10:01:41+00:00,2026-02-24 10:01:40.988000+00:00,2026-02-24 10:12:28.461000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260224T1001409915_d_img_d18.zip | ch2_tmc_ncf_20260224T1001409915_d_img_d18.zip | ch2_tmc_ncn_20260224T1001409883_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,841.0618135555555
2026-02-23 08:28:45+00:00,2026-02-23 08:28:45.107000+00:00,2026-02-23 08:40:47.209000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260223T0828451072_d_img_d18.zip | ch2_tmc_ncf_20260223T0828451072_d_img_d18.zip | ch2_tmc_ncn_20260223T0828451072_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,866.6107024444444
2026-02-22 12:50:10+00:00,2026-02-22 12:50:09.849000+00:00,2026-02-22 13:03:06.641000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260222T1250098497_d_img_d18.zip | ch2_tmc_ncf_20260222T1250098529_d_img_d18.zip | ch2_tmc_ncn_20260222T1250098529_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,886.253758
2026-02-22 08:54:32+00:00,2026-02-22 08:54:31.536000+00:00,2026-02-22 08:59:01.504000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260222T0854315365_d_img_d18.zip | ch2_tmc_ncf_20260222T0854315365_d_img_d18.zip | ch2_tmc_ncn_20260222T0854315365_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,890.1809802222222
2026-02-21 21:11:51+00:00,2026-02-21 21:11:50.794000+00:00,2026-02-21 21:20:50.407000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260221T2111507946_d_img_d18.zip | ch2_tmc_ncf_20260221T2111507977_d_img_d18.zip | ch2_tmc_ncn_20260221T2111507946_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,901.8923691111111
2026-02-21 21:08:42+00:00,2026-02-21 21:08:41.817000+00:00,2026-02-21 21:11:54.894000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260221T2108418177_d_img_d18.zip | ch2_tmc_ncf_20260221T2108418177_d_img_d18.zip | ch2_tmc_ncn_20260221T2108418177_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,901.9448691111111
2026-02-21 13:12:06+00:00,2026-02-21 13:12:05.660000+00:00,2026-02-21 13:25:16.313000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260221T1312056600_d_img_d18.zip | ch2_tmc_ncf_20260221T1312056600_d_img_d18.zip | ch2_tmc_ncn_20260221T1312056600_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,909.8882024444445
2026-02-21 07:27:14+00:00,2026-02-21 07:27:13.782000+00:00,2026-02-21 07:33:01.778000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260221T0727137862_d_img_d18.zip | ch2_tmc_ncf_20260221T0727137829_d_img_d18.zip | ch2_tmc_ncn_20260221T0727137862_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,915.6359802222222
