observation_token,observation_time_utc,camera_count,cameras,NCA_filename,NCN_filename,NCF_filename,status,error
20260227T1635363529,2026-02-27 16:35:36.352900+00:00,3,"NCA,NCN,NCF",ch2_tmc_nca_20260227T1635363529_d_img_d18.zip,ch2_tmc_ncn_20260227T1635363529_d_img_d18.zip,ch2_tmc_ncf_20260227T1635363529_d_img_d18.zip,ERROR,"RuntimeError(""Could not click View: {'ok': False, 'reason': 'product_row_not_found'}"")"
20260228T0422397099,2026-02-28 04:22:39.709900+00:00,3,"NCA,NCN,NCF",ch2_tmc_nca_20260228T0422397099_d_img_d18.zip,ch2_tmc_ncn_20260228T0422397099_d_img_d18.zip,ch2_tmc_ncf_20260228T0422397099_d_img_d18.zip,ERROR,"RuntimeError(""Could not click View: {'ok': False, 'reason': 'product_row_not_found'}"")"
20260226T1307537066,2026-02-26 13:07:53.706600+00:00,3,"NCA,NCN,NCF",ch2_tmc_nca_20260226T1307537066_d_img_d18.zip,ch2_tmc_ncn_20260226T1307537066_d_img_d18.zip,ch2_tmc_ncf_20260226T1307537066_d_img_d18.zip,ERROR,"RuntimeError(""Could not click View: {'ok': False, 'reason': 'product_row_not_found'}"")"
20260226T1305465680,2026-02-26 13:05:46.568000+00:00,3,"NCA,NCN,NCF",ch2_tmc_nca_20260226T1305465680_d_img_d18.zip,ch2_tmc_ncn_20260226T1305465680_d_img_d18.zip,ch2_tmc_ncf_20260226T1305465680_d_img_d18.zip,ERROR,"RuntimeError(""Could not click View: {'ok': False, 'reason': 'product_row_not_found'}"")"
20260228T1421324581,2026-02-28 14:21:32.458100+00:00,3,"NCA,NCN,NCF",ch2_tmc_nca_20260228T1421324581_d_img_d18.zip,ch2_tmc_ncn_20260228T1421324581_d_img_d18.zip,ch2_tmc_ncf_20260228T1421324581_d_img_d18.zip,ERROR,"RuntimeError(""Could not click View: {'ok': False, 'reason': 'product_row_not_found'}"")"
