epoch,train_total,train_mse,train_cosine,train_retrieval,val_total,val_mse,val_cosine,val_retrieval,learning_rate
1,2.9203572600228447,0.6618604932512556,0.6180080001694815,3.2809775842939106,2.1765320396423338,0.4267584979534149,0.31177708466847737,2.875992752710978,0.0001
2,1.8276161752428328,0.35258446148463657,0.246974687235696,2.4561140305655345,1.7568044201533,0.2706689159075419,0.17242005268732707,2.6274309158325195,0.0001
3,1.498827110018049,0.2530124127864838,0.16455075400216237,2.1625278854370116,1.6075435654322305,0.21950548847516377,0.1407604996363322,2.4945551713307696,0.0001
4,1.3390058381216867,0.21352587248597826,0.1392878314426967,1.972384249142238,1.5311487706502278,0.19571825563907624,0.12917672236760458,2.4125075976053876,0.0001
5,1.2387826429094586,0.1933687607731138,0.12755435023988995,1.8357190493174962,1.4809783426920573,0.18287759145100912,0.12336136897404988,2.3494787327448527,0.0001
6,1.1662180641719273,0.17953886858054569,0.11931573050362723,1.7347269208090645,1.4447024408976237,0.173709220290184,0.11888473828633626,2.3042169618606567,0.0001
7,1.0979038987840926,0.17062725160803113,0.11457924502236502,1.6253948150362287,1.4168184804916382,0.16928710261980692,0.11710532903671264,2.260852068265279,0.0001
8,1.0505767471449716,0.16538690064634595,0.11126132215772357,1.547857050214495,1.3944399611155192,0.16530138274033865,0.11494591156641643,2.2283853165308636,0.0001
9,1.0098714709281922,0.16072994785649436,0.10847196340560913,1.481339123589652,1.3743128093083699,0.1616653005282084,0.11280587434768677,2.199683281580607,0.0001
10,0.9654376534053257,0.1563336695092065,0.10585655655179704,1.4064948504311698,1.3567607434590658,0.15848282436529795,0.11075889190038045,2.175038043657939,0.0001
11,0.9407822935921806,0.1525186517408916,0.10327886547361101,1.3699695580346243,1.3431845919291179,0.15714264253775279,0.11011310815811157,2.1518576542536416,0.0001
12,0.9100092131750924,0.1510570294516427,0.10236429861613683,1.3131757634026664,1.3288907972971598,0.1531443562110265,0.10719000657399495,2.137112905184428,0.0001
