epoch,train_total,train_mse,train_cosine,train_retrieval,val_total,val_mse,val_cosine,val_retrieval,learning_rate
1,1.2381764800207955,0.5993233750547682,0.5414663505554199,3.6811992604391914,0.8226385672887166,0.3539971927801768,0.24268604278564454,3.4729834842681884,0.0001
2,0.6674168058804103,0.25586253029959544,0.16887359244482858,3.27117475100926,0.5742276048660279,0.18387528816858928,0.1186804215113322,3.31012095451355,0.0001
3,0.5103141106878009,0.15146686213357108,0.09918151003973824,3.092564902986799,0.4944016782442729,0.13248666981856028,0.08932389736175537,3.172530460357666,0.0001
4,0.4494639309814998,0.1169343506012644,0.07831248419625418,2.9337333256857736,0.4594586646556854,0.11434004833300908,0.07905830065409343,3.055894594192505,0.0001
5,0.41654245938573564,0.1019537564260619,0.06891374383653913,2.8013182898930142,0.4398130750656128,0.10528102219104767,0.07379966974258423,2.976322113672892,0.0001
6,0.39445451532091413,0.09240809091499874,0.06265769175120763,2.7071757411956785,0.4270083475112915,0.09971498628457387,0.0704416275024414,2.9207254028320313,0.0001
7,0.3765325655255999,0.08501009093863623,0.057640165260859896,2.6270238849094936,0.41748848994572957,0.0959424356619517,0.06804993867874146,2.875210838317871,0.0001
8,0.36222350410052706,0.07931766722883497,0.053589613097054616,2.561110303061349,0.40958991289138796,0.09250885933637619,0.0658243727684021,2.841688725153605,0.0001
9,0.350090206520898,0.07439193610634122,0.050276003905705045,2.5056026336124964,0.40274312178293864,0.08953208684921264,0.06375596523284913,2.81333046913147,0.0001
10,0.33855247701917374,0.06985877867255892,0.04711027043206351,2.4513856179373605,0.39709706664085387,0.08749164839585623,0.0623755677541097,2.784176273345947,0.0001
11,0.3297711270196097,0.06615521362849644,0.044514872346605575,2.413584703717913,0.39187474091847735,0.08515918423732122,0.06082618554433187,2.7630246035257975,0.0001
12,0.3200749383653913,0.0626711062022618,0.04221517290387835,2.36296241079058,0.38752164602279665,0.08360459337631862,0.05975812435150146,2.7403798071543375,0.0001
13,0.3119246758733477,0.05953320673533848,0.040036699431283136,2.323731152670724,0.38362857659657795,0.08217180490493775,0.058737413088480635,2.720880629221598,0.0001
14,0.30508411645889283,0.05699991109115737,0.038287580694471086,2.2894041088649204,0.3805184002717336,0.08114141176144282,0.05808566967646281,2.7033415603637696,0.0001
15,0.2990455036503928,0.05431746531810079,0.036536505903516495,2.2645977892194478,0.3768193610509237,0.07944517155488331,0.05682771364847819,2.689603287378947,0.0001
16,0.2917720781053816,0.052203053853341515,0.03503806522914341,2.220499857493809,0.3737328815460205,0.07808329939842223,0.05574705521265666,2.6777605533599855,0.0001
17,0.28708979419299535,0.049823368340730666,0.03348600012915475,2.2052342333112445,0.37220913569132485,0.07825271368026733,0.056107332706451414,2.659027468363444,0.0001
18,0.2821236263002668,0.048350935727357866,0.032539747101919994,2.1750281306675503,0.3689427880446116,0.07618634829918544,0.054400879542032876,2.655559959411621,0.0001
19,0.2775688374042511,0.046237105854919976,0.031092056887490407,2.1578569861820767,0.3666653263568878,0.07543699910243352,0.05382630268732707,2.6431517696380613,0.0001
20,0.2742924668107714,0.044974800710167205,0.03019075632095337,2.1422228602000644,0.3648672898610433,0.0746971172094345,0.05338401397069295,2.6347815736134845,0.0001
21,0.2694046287877219,0.043498645573854446,0.029216257844652448,2.112978526524135,0.3634490442276001,0.07443524976571401,0.05327901522318522,2.6237428251902264,0.0001
22,0.26605233771460396,0.041980260802166804,0.028253704820360458,2.099452227864947,0.36182198842366536,0.0736439996957779,0.05264676729838053,2.618546021779378,0.0001
23,0.26332469080175674,0.041021681662116734,0.027512071132659913,2.085469740458897,0.3602373703320821,0.07300264348586401,0.05223195473353068,2.6111874834696454,0.0001
24,0.26055501767567224,0.039737285609756194,0.02676008973802839,2.0743768501281736,0.3586624582608541,0.07209858695665995,0.05144672632217407,2.6084049860636394,0.0001
25,0.257397951057979,0.03857750311493874,0.025979842117854528,2.058305230140686,0.3571207602818807,0.07138018320004146,0.05090419371922811,2.602884766260783,0.0001
26,0.25520995140075686,0.037460459853921615,0.025248139585767472,2.0512542275020054,0.35637585282325746,0.07142393718163173,0.05097335656483968,2.594652338027954,0.0001
27,0.25290778040885925,0.03684948563575745,0.024800876208714077,2.0365785230909075,0.35507725874582924,0.07075428734223048,0.050514153639475506,2.590658941268921,0.0001
28,0.25140685072966984,0.03600119916456086,0.024285496303013392,2.032629009655544,0.3539177934328715,0.0700783771276474,0.049967857201894124,2.588554751078288,0.0001
29,0.24871683725288937,0.03522138721176556,0.023760770729609897,2.0161506046567643,0.35306260744730633,0.06971322814623515,0.04975447177886963,2.5847214444478355,0.0001
30,0.24704016208648683,0.0342134370974132,0.02303668226514544,2.0130838400977,0.35216243982315065,0.06935088366270065,0.049484771887461344,2.580691665013631,0.0001
31,0.24442963310650417,0.03368397936224937,0.022715912546430315,1.993876941544669,0.3514000034332275,0.06930717915296554,0.04954124291737874,2.5732220236460366,0.0001
32,0.24270635988031114,0.03268968505518777,0.022012790271214076,1.9901027733939034,0.3507521390914917,0.06892327596743901,0.04928109566370646,2.5718832270304364,0.0001
33,0.24144204940114702,0.032583959379366464,0.02200139284133911,1.9785739074434552,0.34942551493644713,0.06814056525627772,0.04862169901529948,2.569740826288859,0.0001
34,0.24031488265310014,0.031831934303045276,0.02140388454709734,1.9778100293023246,0.348848504225413,0.06776187856992086,0.048335086504618326,2.5691906929016115,0.0001
35,0.2374587459223611,0.030983457203422275,0.020941547325679235,1.9600451156071255,0.34830839196840924,0.06783653924862544,0.048484168847401934,2.5622976620992026,0.0001
36,0.23737174826008933,0.03081462740898132,0.020816857814788817,1.961486886569432,0.3474082593123118,0.06703895777463913,0.047867840131123864,2.56435386021932,0.0001
37,0.23613515521798814,0.030336577030164853,0.020507361207689558,1.955448978287833,0.3466491186618805,0.06647791733344396,0.04738104263941447,2.5648066711425783,0.0001
38,0.23526877164840698,0.030089057588151523,0.020313042913164412,1.950231889316014,0.346013179620107,0.06639342576265335,0.047340200742085774,2.559496405919393,0.0001
39,0.23361810428755625,0.029359955000025886,0.01985048532485962,1.9433290352140153,0.34547157645225524,0.06618197694420815,0.04717360019683838,2.5570279661814372,0.0001
40,0.2329353667157037,0.028954880429165705,0.019541357925959995,1.942098035131182,0.3447840189933777,0.06563926597436269,0.0468688956896464,2.5571029726664225,0.0001
41,0.23203931655202592,0.028360088605965887,0.019163338797433035,1.9409755645479474,0.34387505213419595,0.06525014797846476,0.046480355262756345,2.553847173055013,0.0001
