scenario_index,examples,iirs_tmc2_positive_cosine,iirs_tmc2_wrong_anchor_cosine,iirs_tmc2_hard_negative_cosine,ohrc_tmc2_positive_cosine,ohrc_tmc2_wrong_anchor_cosine,ohrc_tmc2_hard_negative_cosine
0,60,0.7295540571212769,-0.05488824471831322,0.5752428770065308,0.7285534143447876,-0.07395242899656296,0.567371666431427
1,60,0.7290067672729492,-0.05545226112008095,0.5752140283584595,0.7280653715133667,-0.07374069839715958,0.5662058591842651
2,60,0.7277662754058838,-0.052742958068847656,0.5739926099777222,0.7258950471878052,-0.07221769541501999,0.5644622445106506
3,60,0.7260549068450928,-0.052791692316532135,0.5729113817214966,0.7245320677757263,-0.07388071715831757,0.5658882260322571
4,60,0.7302455902099609,-0.05500298738479614,0.5750042796134949,0.7292416095733643,-0.07356499135494232,0.5674485564231873
5,60,0.7308429479598999,-0.05506366491317749,0.5738841891288757,0.7298771142959595,-0.07256536930799484,0.5670064687728882
6,60,0.7289667725563049,-0.05452923849225044,0.569479763507843,0.7282503843307495,-0.06995340436697006,0.5640029311180115
7,60,0.7475072145462036,-0.036411140114068985,0.5911939144134521,0.7457076907157898,-0.05874112620949745,0.582040011882782
8,60,0.7336801290512085,0.007000021170824766,0.5847073793411255,0.7365672588348389,-0.0182977132499218,0.5796762108802795
9,60,0.62898850440979,0.06671825051307678,0.5081432461738586,0.6283999681472778,0.04714898765087128,0.5046137571334839
10,60,0.7284794449806213,-0.05676472932100296,0.5750246047973633,0.7277032732963562,-0.07318542897701263,0.5670664310455322
11,60,0.7272410988807678,-0.055467717349529266,0.5739212036132812,0.7256883978843689,-0.0754748210310936,0.5638697743415833
12,60,0.7198855876922607,-0.05618252977728844,0.569352924823761,0.7200049161911011,-0.07996310293674469,0.5631415247917175
13,60,0.7295597195625305,-0.05556764081120491,0.5748134851455688,0.7288272976875305,-0.0739857405424118,0.5673437118530273
14,60,0.7289708256721497,-0.05702980235219002,0.5733344554901123,0.7290140390396118,-0.07395128905773163,0.5669192671775818
15,60,0.725229799747467,-0.0593942329287529,0.5683602690696716,0.7274124622344971,-0.07340174168348312,0.5645046234130859
16,60,0.7289708256721497,-0.057029809802770615,0.5733344554901123,0.7290140390396118,-0.07395128160715103,0.5669192671775818
17,60,0.7225792407989502,-0.06016318500041962,0.5654119253158569,0.7258938550949097,-0.07296836376190186,0.5628122091293335
18,60,0.6942431330680847,-0.06151960417628288,0.5382084250450134,0.7061463594436646,-0.06797449290752411,0.5443346500396729
19,60,0.6457757353782654,-0.02523079328238964,0.5123642683029175,0.6539192795753479,-0.06038421764969826,0.5040457248687744
20,60,0.5182479619979858,-0.002347369212657213,0.42691096663475037,0.5413316488265991,-0.012479054741561413,0.4335159659385681
21,60,0.4280036389827728,0.023935843259096146,0.3459058403968811,0.41995352506637573,0.03562666103243828,0.34793922305107117
22,60,0.6942952871322632,-0.04422541707754135,0.5433672666549683,0.6951154470443726,-0.062830850481987,0.5435202717781067
23,60,0.6263976693153381,-0.03482814505696297,0.49394428730010986,0.6263128519058228,-0.02862267754971981,0.5047562718391418
24,60,0.5319331288337708,-0.02717050351202488,0.4245319962501526,0.5395370125770569,-0.0009736699284985662,0.4291718602180481
25,60,0.6365410089492798,-0.0394098199903965,0.5118868947029114,0.6292901635169983,-0.03992190212011337,0.4804597795009613
26,60,0.4647800028324127,0.01605936698615551,0.382007896900177,0.5077057480812073,-0.010881518013775349,0.40735599398612976
27,60,0.4215988218784332,0.029565216973423958,0.3413829207420349,0.40874961018562317,0.03414217755198479,0.31238576769828796
28,60,0.7300297617912292,-0.052873194217681885,0.5751608610153198,0.7275222539901733,-0.0730614960193634,0.5661805272102356
29,60,0.7223960161209106,-0.05412173643708229,0.5671971440315247,0.7195173501968384,-0.06987547129392624,0.5601823329925537
30,60,0.6331283450126648,-0.0682256668806076,0.4950540363788605,0.6147698163986206,-0.03045552223920822,0.4934426248073578
31,60,0.5799281597137451,-0.009060518816113472,0.45563408732414246,0.5475887060165405,-0.024414576590061188,0.43531858921051025
32,60,0.41003483533859253,0.049150943756103516,0.32775866985321045,0.408961683511734,0.028570573776960373,0.3439313769340515
33,60,0.27021104097366333,0.06339836865663528,0.22670288383960724,0.2612442672252655,0.06982578337192535,0.22411276400089264
