pair,test_samples,unique_test_anchors,robustness_scenarios,recall_at_1,recall_at_1_ci95_low,recall_at_1_ci95_high,recall_at_5,recall_at_10,median_rank,mean_rank,worst_rank,positive_cosine_mean,positive_cosine_std,negative_cosine_mean,negative_cosine_std,positive_negative_gap
IIRS_TMC2,2040,60,34,0.01911764705882353,0.01401622354225035,0.026026801318384647,0.1264705882352941,0.2661764705882353,19.0,36.1328431372549,1656,0.6479727647413371,0.1450920456056937,0.019393686205148697,0.260731041431427,0.6285790785361884
OHRC_TMC2,2040,60,34,0.015196078431372549,0.010725974072097856,0.021488655476493382,0.11911764705882352,0.24705882352941178,20.0,38.629411764705885,1660,0.6478327572875309,0.1480189031750281,0.018501294776797295,0.2621341049671173,0.6293314625107336
IIRS_OHRC,2040,60,34,0.15,0.13516329604661037,0.16615242235348482,0.33578431372549017,0.47549019607843135,12.0,63.88676470588236,1683,0.6511269582289398,0.22043384407128847,0.014036661945283413,0.2605677545070648,0.6370902962836564
