epoch,train_loss,val_loss,train_iirs_tmc2,train_ohrc_tmc2,train_iirs_ohrc,val_iirs_tmc2,val_ohrc_tmc2,val_iirs_ohrc
1,9.386879920959473,7.723471164703369,9.312509536743164,9.389134407043457,9.458993911743164,7.622650146484375,7.728385925292969,7.819378852844238
2,9.293885231018066,7.621420383453369,9.217001914978027,9.300081253051758,9.364572525024414,7.5241475105285645,7.626437187194824,7.713676452636719
3,9.198781967163086,7.527273178100586,9.11927318572998,9.204992294311523,9.27208137512207,7.4340925216674805,7.530646324157715,7.6170806884765625
4,9.118134498596191,7.43878173828125,9.043355941772461,9.121564865112305,9.189482688903809,7.349576950073242,7.439367294311523,7.527400016784668
5,9.032496452331543,7.354034423828125,8.956513404846191,9.034092903137207,9.106884002685547,7.268287181854248,7.351254463195801,7.442561626434326
6,8.952767372131348,7.2715325355529785,8.871816635131836,8.952460289001465,9.034025192260742,7.188621520996094,7.265182018280029,7.360793590545654
7,8.877889633178711,7.19026517868042,8.798734664916992,8.875927925109863,8.959005355834961,7.109523773193359,7.180482864379883,7.280788421630859
8,8.804837226867676,7.109565258026123,8.729425430297852,8.802435874938965,8.882650375366211,7.0304274559021,7.096755027770996,7.201513290405273
9,8.729438781738281,7.02914571762085,8.653711318969727,8.721187591552734,8.8134183883667,6.951183795928955,7.013911247253418,7.122340202331543
10,8.655143737792969,6.948925018310547,8.577491760253906,8.64677619934082,8.741162300109863,6.8718719482421875,6.931998252868652,7.042904853820801
11,8.574214935302734,6.868948459625244,8.493671417236328,8.562517166137695,8.666455268859863,6.792714595794678,6.85112190246582,6.963008880615234
12,8.495220184326172,6.789346694946289,8.42108154296875,8.481058120727539,8.583521842956543,6.713979721069336,6.771384239196777,6.882675647735596
13,8.421391487121582,6.710327625274658,8.342723846435547,8.408092498779297,8.513359069824219,6.636037826538086,6.692856788635254,6.802089214324951
14,8.341155052185059,6.632089614868164,8.26424789428711,8.328497886657715,8.430717468261719,6.559162139892578,6.615584850311279,6.721521377563477
15,8.260830879211426,6.554758071899414,8.178157806396484,8.246849060058594,8.357486724853516,6.483508110046387,6.539518356323242,6.641247749328613
16,8.1856050491333,6.478505611419678,8.109783172607422,8.168533325195312,8.278498649597168,6.409259796142578,6.464589595794678,6.561666011810303
17,8.111459732055664,6.403451442718506,8.033219337463379,8.099113464355469,8.202047348022461,6.336530685424805,6.390739917755127,6.4830827713012695
18,8.028910636901855,6.329692840576172,7.946140289306641,8.014150619506836,8.126439094543457,6.265374183654785,6.31790018081665,6.405804634094238
19,7.960683345794678,6.257277011871338,7.879142761230469,7.950835704803467,8.052070617675781,6.195760726928711,6.246039390563965,6.3300323486328125
20,7.882864475250244,6.186228275299072,7.8088297843933105,7.873392105102539,7.966371536254883,6.127609729766846,6.175170421600342,6.2559051513671875
21,7.810737133026123,6.116590976715088,7.73972749710083,7.796703338623047,7.89578104019165,6.0609893798828125,6.1053571701049805,6.183427810668945
22,7.7371649742126465,6.048425674438477,7.664402961730957,7.72267484664917,7.824416160583496,5.9958906173706055,6.036743640899658,6.112642288208008
23,7.665659427642822,5.981769561767578,7.595139026641846,7.655642509460449,7.746197700500488,5.932322978973389,5.9694390296936035,6.043545722961426
24,7.600311279296875,5.91674280166626,7.530452728271484,7.591621398925781,7.678859710693359,5.870426177978516,5.90371036529541,5.97609281539917
25,7.52483606338501,5.853477954864502,7.451272010803223,7.516139507293701,7.6070966720581055,5.810368061065674,5.8397722244262695,5.9102935791015625
26,7.455003261566162,5.792104244232178,7.382944107055664,7.449033737182617,7.533031463623047,5.752325057983398,5.777798175811768,5.846189498901367
27,7.388807773590088,5.732662200927734,7.317641735076904,7.382421016693115,7.466361045837402,5.696279525756836,5.717846393585205,5.783862113952637
28,7.323406219482422,5.675182342529297,7.258114814758301,7.319812774658203,7.392290115356445,5.642265796661377,5.659931182861328,5.723349571228027
29,7.2645087242126465,5.6196608543396,7.1982526779174805,7.259603977203369,7.335667610168457,5.590274333953857,5.604026794433594,5.664679527282715
30,7.195536136627197,5.566126346588135,7.1260762214660645,7.191686630249023,7.26884651184082,5.540245056152344,5.550213813781738,5.6079206466674805
31,7.136048793792725,5.514562129974365,7.074560165405273,7.134420871734619,7.199164390563965,5.492021083831787,5.498491287231445,5.553173542022705
32,7.081358432769775,5.4648871421813965,7.007752418518066,7.08122444152832,7.155097961425781,5.4454193115234375,5.448786735534668,5.500453948974609
33,7.014105319976807,5.417067050933838,6.944039344787598,7.019108772277832,7.079168319702148,5.400387763977051,5.401110649108887,5.449704170227051
34,6.961771011352539,5.3711838722229,6.897109031677246,6.960197925567627,7.028005123138428,5.357048034667969,5.35562801361084,5.400876045227051
35,6.903690814971924,5.327209949493408,6.837933540344238,6.906164169311523,6.966975212097168,5.315395355224609,5.3123087882995605,5.353926181793213
36,6.844924449920654,5.285152912139893,6.7792863845825195,6.845562934875488,6.909923553466797,5.275573253631592,5.271223068237305,5.308661460876465
37,6.7961273193359375,5.244918346405029,6.728326797485352,6.795894145965576,6.864161491394043,5.23742151260376,5.2322893142700195,5.265044212341309
38,6.736348628997803,5.206442356109619,6.671742916107178,6.740167617797852,6.797133445739746,5.200881004333496,5.195373058319092,5.223073959350586
39,6.688325881958008,5.169600963592529,6.629961967468262,6.687811851501465,6.747204303741455,5.165830612182617,5.160284042358398,5.182688236236572
40,6.63776159286499,5.134373664855957,6.574746131896973,6.644817352294922,6.693719863891602,5.13234281539917,5.126945495605469,5.143832206726074
41,6.587087154388428,5.100581645965576,6.524326324462891,6.590740203857422,6.6461944580078125,5.100089073181152,5.095105171203613,5.106550216674805
42,6.543527126312256,5.068136692047119,6.483540058135986,6.546882152557373,6.600159168243408,5.069022178649902,5.064597129821777,5.070791244506836
43,6.492898464202881,5.036997318267822,6.432316303253174,6.50427770614624,6.54210090637207,5.039177894592285,5.035347938537598,5.0364670753479
44,6.44288969039917,5.00709867477417,6.380848407745361,6.44837760925293,6.4994425773620605,5.010409355163574,5.0072174072265625,5.003668308258057
45,6.403759002685547,4.978460788726807,6.338922500610352,6.411983013153076,6.460371971130371,4.982824802398682,4.98020076751709,4.972356796264648
46,6.354775905609131,4.9511260986328125,6.294988632202148,6.362860202789307,6.406478404998779,4.9565606117248535,4.954375267028809,4.942441940307617
47,6.3148512840271,4.925095081329346,6.250137805938721,6.331902503967285,6.362513542175293,4.931607246398926,4.929759979248047,4.913918495178223
48,6.277544021606445,4.900317668914795,6.214536666870117,6.289295196533203,6.328800678253174,4.907912254333496,4.9063215255737305,4.886719703674316
49,6.233048915863037,4.876740455627441,6.1840105056762695,6.234129905700684,6.281004905700684,4.885445594787598,4.883999824523926,4.860775947570801
50,6.194891452789307,4.854177951812744,6.142055988311768,6.199944496154785,6.242674827575684,4.863855361938477,4.862651824951172,4.836026668548584
