epoch,train_loss,val_loss,val_mse,val_cos,val_retrieval,lr
1,0.8927243988622319,0.5213161885738373,0.19253589063882828,0.12019970417022705,2.6868043661117555,0.0001
2,0.4316307692365213,0.4114137291908264,0.12006518170237541,0.08017863631248474,2.5125922322273255,0.0001
3,0.3596686741167849,0.380162712931633,0.10375684052705765,0.0709790825843811,2.409163236618042,0.0001
4,0.32515454766425217,0.3645606756210327,0.09617015644907952,0.06628701686859131,2.352470028400421,0.0001
5,0.3007696738297289,0.3534767091274261,0.09046927466988564,0.06258348226547242,2.3171568632125856,0.0001
6,0.2842455543577671,0.3453486800193787,0.08653140068054199,0.05992412567138672,2.288552093505859,0.0001
7,0.26768895678899507,0.33846124112606046,0.08338628634810448,0.0578191339969635,2.2616538524627687,0.0001
8,0.25538892502134497,0.3328523814678192,0.08094330951571464,0.05622602105140686,2.2379606127738954,0.0001
9,0.24531867524439638,0.3279652833938599,0.07840543314814567,0.05443268418312073,2.2234350085258483,0.0001
10,0.23482587188482285,0.32411310374736785,0.07676928043365479,0.05335111618041992,2.2066826581954957,0.0001
11,0.22730232368816028,0.3200286030769348,0.07470362707972526,0.051885956525802614,2.1938199162483216,0.0001
12,0.22016777606172996,0.3172620296478271,0.07330527231097221,0.05082651376724243,2.185434949398041,0.0001
13,0.2132284106178717,0.3141443938016891,0.0714414156973362,0.04946784377098083,2.1796905159950257,0.0001
14,0.20866053043441338,0.312668913602829,0.07131322547793388,0.04954299330711365,2.1658419251441954,0.0001
15,0.20404840057546442,0.31065196394920347,0.07031545042991638,0.048796075582504275,2.1593846797943117,0.0001
16,0.19891410558061165,0.3090196520090103,0.06948794052004814,0.04804528951644897,2.155090701580048,0.0001
17,0.19675704294984991,0.3072137236595154,0.0686679609119892,0.04748204946517944,2.1480473399162294,0.0001
18,0.1931081200865182,0.3051326900720596,0.06710836477577686,0.04633511900901795,2.1485676169395447,0.0001
19,0.19068138233639978,0.30409894287586214,0.06645122729241848,0.04584996104240417,2.1472272753715513,0.0001
